Name,Year,Country,Category,Description,Details,Shares
Ada Yonath,2009,Israel,Chemistry,"""For studies of the structure and function of the ribosome""",,(shared with Pierre Curie and Henri Becquerel)
Alice Munro,2013,Canada,Literature,"""Master of the contemporary short story""",,
Alva Myrdal,1982,Sweden,Peace,"""Former Cabinet Minister; Diplomat; Writer.""",,
Aung San Suu Kyi,1991,Burma,Peace,"""For her non-violent struggle for democracy and human rights""",,
Barbara McClintock,1983,United States,Physiology or Medicine,"""For her discovery of mobile genetic elements""",,
Bertha von Suttner,1905,Czech Republic,Peace,"""Honorary President of Permanent International Peace Bureau, Bern, Switzerland; Author of ""Lay Down Your Arms"".""","Born in the Austrian Empire, now Czech Republic",
Betty Williams,1976,"Ireland, United Kingdom",Peace,"""Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People)""","Born in North Ireland, part of the UK",(shared with Nicholas Murray Butler)
Carol W. Greider,2009,United States,Physiology or Medicine,"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",,(shared with Frédéric Joliot-Curie)
Christiane Nüsslein-Volhard,1995,Germany,Physiology or Medicine,"""For their discoveries concerning the genetic control of early embryonic development""",,
Donna Strickland,2018,Canada,Physics,"""For their method of generating high-intensity, ultra-short optical pulses""",,
Doris Lessing,2007,"Iran, United Kingdom",Literature,"""That epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""","Born in Iran, worked in the UK",(shared with John Raleigh Mott)
Dorothy Hodgkin,1964,United Kingdom,Chemistry,"""For her determinations by X-ray techniques of the structures of important biochemical substances""",,(shared with Carl Ferdinand Cori and Bernardo Houssay)
Elfriede Jelinek,2004,Austria,Literature,"""For her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""",0,(shared with J. Hans D. Jensen and Eugene Wigner)
Elinor Ostrom,2009,United States,Economics,"""For her analysis of economic governance, especially the commons""",,
Elizabeth Blackburn,2009,"Australia, United States",Physiology or Medicine,"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""","Born in Australia, worked in the US",(shared with Samuel Agnon)
Ellen Johnson Sirleaf,2011,Liberia,Peace,"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",,
Emily Greene Balch,1946,United States,Peace,"""Formerly Professor of History and Sociology; Honorary International President, Women's International League for Peace and Freedom.""",,
Esther Duflo,2019,"France, United States",Economics,"""For their experimental approach to alleviating global poverty""","Born in France, worked in the US",(shared with Roger Guillemin and Andrew Schally)
Frances H. Arnold,2018,United States,Chemistry,"""For the directed evolution of enzymes""",,
Françoise Barré-Sinoussi,2008,France,Physiology or Medicine,"""For their discovery of HIV, human immunodeficiency virus""",,(shared with Alfonso García Robles)
Gabriela Mistral,1945,Chile,Literature,"""For her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",,
Gertrude B. Elion,1988,United States,Physiology or Medicine,"""For their discoveries of important principles for drug treatment""",,(shared with Stanley Cohen)
