,day,focus_technique,location,task_type,task_duration,pauses_duration,motivation
0,Tuesday,Zen to Done,Coffee Shop,Note Taking,120,10,Low
1,Monday,Eat the Frog,Outdoors,Note Taking,60,10,Medium
2,Tuesday,Task Batching,Outdoors,Writing,150,25,Low
3,Tuesday,Eat the Frog,Library,Coding,180,15,Medium
4,Friday,Eat the Frog,Outdoors,Planning,180,15,Medium
5,Thursday,Deep Work,Library,Writing,120,15,Medium
6,Wednesday,Eat the Frog,Home,Planning,60,5,High
7,Saturday,Task Batching,Coffee Shop,Reading,30,20,Low
8,Wednesday,Task Batching,Office,Planning,90,10,Medium
9,Monday,Task Batching,Outdoors,Reading,30,25,Medium
10,Tuesday,Zen to Done,Library,Planning,180,25,Medium
11,Thursday,Deep Work,Outdoors,Reading,90,25,Medium
12,Wednesday,Task Batching,Library,Planning,90,10,Low
13,Friday,Deep Work,Library,Writing,150,20,High
14,Saturday,Deep Work,Office,Reading,30,20,Medium
15,Thursday,Task Batching,Office,Reading,120,10,High
16,Wednesday,Task Batching,Library,Coding,150,20,High
17,Saturday,Eat the Frog,Library,Writing,30,10,Low
18,Saturday,Deep Work,Outdoors,Writing,90,25,Low
19,Thursday,Eat the Frog,Home,Reading,30,15,Low
20,Saturday,Zen to Done,Library,Reading,150,10,Medium
21,Wednesday,Zen to Done,Library,Reading,180,25,High
22,Wednesday,Task Batching,Outdoors,Writing,180,15,High
23,Thursday,Eat the Frog,Home,Coding,30,15,Low
24,Monday,Zen to Done,Coffee Shop,Note Taking,30,10,Low
25,Thursday,Eat the Frog,Home,Planning,60,15,Low
26,Friday,Zen to Done,Home,Writing,180,15,Low
27,Friday,Deep Work,Coffee Shop,Note Taking,30,25,Medium
28,Friday,Deep Work,Outdoors,Reading,60,15,Medium
29,Tuesday,Task Batching,Coffee Shop,Planning,30,15,Medium
30,Monday,Eat the Frog,Home,Reading,30,15,Low
31,Tuesday,Task Batching,Library,Note Taking,120,10,Low
32,Thursday,Zen to Done,Office,Planning,120,5,Medium
33,Saturday,Task Batching,Home,Note Taking,180,5,High
34,Thursday,Zen to Done,Office,Coding,60,20,Low
35,Thursday,Task Batching,Coffee Shop,Reading,180,5,Medium
